Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
gest8_1.jpg;50;50;0;0;50;50;1
gest8_2.jpg;50;50;0;0;50;50;1
gest8_3.jpg;50;50;0;0;50;50;1
gest8_4.jpg;50;50;0;0;50;50;1
gest8_5.jpg;50;50;0;0;50;50;1
gest8_6.jpg;50;50;0;0;50;50;1
gest8_7.jpg;50;50;0;0;50;50;1
gest8_8.jpg;50;50;0;0;50;50;1
gest8_9.jpg;50;50;0;0;50;50;1
gest8_10.jpg;50;50;0;0;50;50;1
gest8_11.jpg;50;50;0;0;50;50;1
gest8_12.jpg;50;50;0;0;50;50;1
gest8_13.jpg;50;50;0;0;50;50;1
gest8_14.jpg;50;50;0;0;50;50;1
gest8_15.jpg;50;50;0;0;50;50;1
gest8_16.jpg;50;50;0;0;50;50;1
gest8_17.jpg;50;50;0;0;50;50;1
gest8_18.jpg;50;50;0;0;50;50;1
gest8_19.jpg;50;50;0;0;50;50;1
gest8_20.jpg;50;50;0;0;50;50;1
gest8_21.jpg;50;50;0;0;50;50;1
gest8_22.jpg;50;50;0;0;50;50;1
gest8_23.jpg;50;50;0;0;50;50;1
gest8_24.jpg;50;50;0;0;50;50;1
gest8_25.jpg;50;50;0;0;50;50;1
gest8_26.jpg;50;50;0;0;50;50;1
gest8_27.jpg;50;50;0;0;50;50;1
gest8_28.jpg;50;50;0;0;50;50;1
gest8_29.jpg;50;50;0;0;50;50;1
gest8_30.jpg;50;50;0;0;50;50;1
gest8_31.jpg;50;50;0;0;50;50;1
gest8_32.jpg;50;50;0;0;50;50;1
gest8_33.jpg;50;50;0;0;50;50;1
gest8_34.jpg;50;50;0;0;50;50;1
gest8_35.jpg;50;50;0;0;50;50;1
gest8_36.jpg;50;50;0;0;50;50;1
gest8_37.jpg;50;50;0;0;50;50;1
gest8_38.jpg;50;50;0;0;50;50;1
gest8_39.jpg;50;50;0;0;50;50;1
gest8_40.jpg;50;50;0;0;50;50;1
gest8_41.jpg;50;50;0;0;50;50;1
gest8_42.jpg;50;50;0;0;50;50;1
gest8_43.jpg;50;50;0;0;50;50;1
gest8_44.jpg;50;50;0;0;50;50;1
gest8_45.jpg;50;50;0;0;50;50;1
gest8_46.jpg;50;50;0;0;50;50;1
gest8_47.jpg;50;50;0;0;50;50;1
gest8_48.jpg;50;50;0;0;50;50;1
gest8_49.jpg;50;50;0;0;50;50;1
gest8_50.jpg;50;50;0;0;50;50;1
gest8_51.jpg;50;50;0;0;50;50;1
gest8_52.jpg;50;50;0;0;50;50;1
gest8_53.jpg;50;50;0;0;50;50;1
gest8_54.jpg;50;50;0;0;50;50;1
gest8_55.jpg;50;50;0;0;50;50;1
gest8_56.jpg;50;50;0;0;50;50;1
gest8_57.jpg;50;50;0;0;50;50;1
gest8_58.jpg;50;50;0;0;50;50;1
gest8_59.jpg;50;50;0;0;50;50;1
gest8_60.jpg;50;50;0;0;50;50;1
gest8_61.jpg;50;50;0;0;50;50;1
gest8_62.jpg;50;50;0;0;50;50;1
gest8_63.jpg;50;50;0;0;50;50;1
gest8_64.jpg;50;50;0;0;50;50;1
gest8_65.jpg;50;50;0;0;50;50;1
gest8_66.jpg;50;50;0;0;50;50;1
gest8_67.jpg;50;50;0;0;50;50;1
gest8_68.jpg;50;50;0;0;50;50;1
gest8_69.jpg;50;50;0;0;50;50;1
gest8_70.jpg;50;50;0;0;50;50;1
gest8_71.jpg;50;50;0;0;50;50;1
gest8_72.jpg;50;50;0;0;50;50;1
gest8_73.jpg;50;50;0;0;50;50;1
gest8_74.jpg;50;50;0;0;50;50;1
gest8_75.jpg;50;50;0;0;50;50;1
gest8_76.jpg;50;50;0;0;50;50;1
gest8_77.jpg;50;50;0;0;50;50;1
gest8_78.jpg;50;50;0;0;50;50;1
gest8_79.jpg;50;50;0;0;50;50;1
gest8_80.jpg;50;50;0;0;50;50;1
gest8_81.jpg;50;50;0;0;50;50;1
gest8_82.jpg;50;50;0;0;50;50;1
gest8_83.jpg;50;50;0;0;50;50;1
gest8_84.jpg;50;50;0;0;50;50;1
gest8_85.jpg;50;50;0;0;50;50;1
gest8_86.jpg;50;50;0;0;50;50;1
gest8_87.jpg;50;50;0;0;50;50;1
gest8_88.jpg;50;50;0;0;50;50;1
gest8_89.jpg;50;50;0;0;50;50;1
gest8_90.jpg;50;50;0;0;50;50;1
gest8_91.jpg;50;50;0;0;50;50;1
gest8_92.jpg;50;50;0;0;50;50;1
gest8_93.jpg;50;50;0;0;50;50;1
gest8_94.jpg;50;50;0;0;50;50;1
gest8_95.jpg;50;50;0;0;50;50;1
gest8_96.jpg;50;50;0;0;50;50;1
gest8_97.jpg;50;50;0;0;50;50;1
gest8_98.jpg;50;50;0;0;50;50;1
gest8_99.jpg;50;50;0;0;50;50;1
gest8_100.jpg;50;50;0;0;50;50;1
